Rank,Score,Stat,Season,lgID
1,0.18157159414561236,PA,2002,NL
2,0.17888709914434495,RBI/PA,2002,NL
3,0.11971657099182556,HR/PA,2002,NL
4,0.06269324044776568,SLG,2002,NL
5,0.060017854501770856,OBP,2002,NL
6,0.051580632956389566,FP,2002,NL
7,0.04553749516725113,AVG,2002,NL
8,0.039907698664519826,BB/9,2002,NL
9,0.019925179284630164,Pos_LF,2002,NL
0,0.27178970208539216,SLG,2003,NL
1,0.16624082672298568,R/PA,2003,NL
2,0.1422307228033262,HR/PA,2003,NL
3,0.1077849504853975,OBP,2003,NL
4,0.09260194977113123,RBI/PA,2003,NL
5,0.061243806432331425,AVG,2003,NL
6,0.03662621557484109,FP,2003,NL
7,0.02791835176529177,PA,2003,NL
8,0.015274725060078442,K/9,2003,NL
9,0.013534742409643639,SV,2003,NL
0,0.4500198463368454,SLG,2004,NL
1,0.22155329504955182,R/PA,2004,NL
2,0.12175170864485982,HR/PA,2004,NL
3,0.06057899947175915,RBI/PA,2004,NL
4,0.044406129213408814,OBP,2004,NL
5,0.03244191559752514,AVG,2004,NL
6,0.013682236347858262,FP,2004,NL
7,0.009189211227793226,SB,2004,NL
8,0.008429234231756772,PA,2004,NL
